Carimbo de data/hora,Qual a sua faixa etária?,"Ao planejar uma viagem, qual é o seu principal canal para reservar hospedagem?","Quando você encontra um hotel de seu interesse em uma plataforma (ex: Booking), com que frequência você procura o site ou o contato direto do hotel para comparar o preço?","Se você respondeu ""Raramente"" ou ""Nunca"" na questão anterior, qual o principal motivo?","Avisos como ""Resta apenas 1 quarto por este preço"" ou ""5 pessoas estão olhando esta acomodação agora"" influenciam você a fechar a reserva mais rápido?"
2026/05/05 6:44:06 PM GMT-3,25-34,Airbnb ou similares,Raramente,Acredito que o preço na plataforma já é o mais barato.,"Não, ignoro esses avisos."
2026/05/05 6:49:54 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Não, ignoro esses avisos."
2026/05/05 6:52:25 PM GMT-3,25-34,Airbnb ou similares,Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 6:52:41 PM GMT-3,35-44,Airbnb ou similares,Sempre,,"Não, ignoro esses avisos."
2026/05/05 7:01:47 PM GMT-3,25-34,Airbnb ou similares,Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 7:16:41 PM GMT-3,35-44,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 7:22:11 PM GMT-3,25-34,Airbnb ou similares,Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 7:22:17 PM GMT-3,25-34,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 7:27:47 PM GMT-3,35-44,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Sim, sinto que posso perder a oportunidade."
2026/05/05 7:29:01 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,Acredito que o preço na plataforma já é o mais barato.,"Sim, sinto que posso perder a oportunidade."
2026/05/05 7:31:25 PM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 7:33:42 PM GMT-3,25-34,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Sempre,,"Não, ignoro esses avisos."
2026/05/05 7:47:53 PM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/05 7:52:13 PM GMT-3,25-34,Airbnb ou similares,Sempre,,"Sim, sinto que posso perder a oportunidade."
2026/05/05 7:54:30 PM GMT-3,35-44,Airbnb ou similares,Sempre,,"Não, ignoro esses avisos."
2026/05/05 8:12:47 PM GMT-3,18-24,Airbnb ou similares,Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/05 8:21:26 PM GMT-3,35-44,Airbnb ou similares,Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/06 8:58:22 AM GMT-3,25-34,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Sempre,,"Não, ignoro esses avisos."
2026/05/06 9:05:31 AM GMT-3,25-34,Airbnb ou similares,Raramente,Acredito que o preço na plataforma já é o mais barato.,"Sim, sinto que posso perder a oportunidade."
2026/05/06 9:08:33 AM GMT-3,25-34,Airbnb ou similares,Sempre,,"Não, ignoro esses avisos."
2026/05/06 9:18:00 AM GMT-3,35-44,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Sim, sinto que posso perder a oportunidade."
2026/05/06 9:19:24 AM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Sempre,,"Sim, sinto que posso perder a oportunidade."
2026/05/06 9:20:01 AM GMT-3,35-44,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Sempre,,"Não, ignoro esses avisos."
2026/05/06 9:55:03 AM GMT-3,35-44,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/06 10:38:50 AM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/06 12:19:49 PM GMT-3,18-24,Airbnb ou similares,Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Sim, sinto que posso perder a oportunidade."
2026/05/06 12:20:25 PM GMT-3,18-24,Airbnb ou similares,Nunca,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Sim, sinto que posso perder a oportunidade."
2026/05/06 12:25:24 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/06 12:27:17 PM GMT-3,18-24,Airbnb ou similares,Sempre,,"Não, ignoro esses avisos."
2026/05/06 12:28:16 PM GMT-3,18-24,Airbnb ou similares,Raramente,Outros,"Não, ignoro esses avisos."
2026/05/06 12:30:12 PM GMT-3,18-24,Airbnb ou similares,Nunca,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Sim, sinto que posso perder a oportunidade."
2026/05/06 12:30:12 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Nunca,Acredito que o preço na plataforma já é o mais barato.,"Não, ignoro esses avisos."
2026/05/06 12:30:36 PM GMT-3,18-24,Airbnb ou similares,Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/06 12:31:05 PM GMT-3,18-24,Airbnb ou similares,Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/06 12:31:50 PM GMT-3,18-24,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/06 12:34:25 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Não, ignoro esses avisos."
2026/05/06 12:41:26 PM GMT-3,18-24,Airbnb ou similares,Sempre,,"Não, ignoro esses avisos."
2026/05/06 12:42:38 PM GMT-3,25-34,Airbnb ou similares,Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/06 12:47:16 PM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/06 12:55:34 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,Acredito que o preço na plataforma já é o mais barato.,"Sim, sinto que posso perder a oportunidade."
2026/05/06 1:00:50 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/06 1:04:24 PM GMT-3,18-24,Airbnb ou similares,Sempre,,"Sim, sinto que posso perder a oportunidade."
2026/05/06 1:07:14 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,Acredito que o preço na plataforma já é o mais barato.,"Não, ignoro esses avisos."
2026/05/06 1:13:40 PM GMT-3,18-24,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Raramente,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Não, ignoro esses avisos."
2026/05/06 1:13:49 PM GMT-3,25-34,Airbnb ou similares,Sempre,,"Sim, sinto que posso perder a oportunidade."
2026/05/06 1:15:15 PM GMT-3,25-34,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Nunca,Acredito que o preço na plataforma já é o mais barato.,"Não, ignoro esses avisos."
2026/05/06 5:10:10 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/06 5:42:40 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
2026/05/06 5:55:00 PM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/06 8:13:02 PM GMT-3,45+,"Contato direto com o hotel (WhatsApp, Telefone, Site próprio)",Nunca,Dá muito trabalho / É complicado pesquisar em vários lugares diferentes.,"Não, ignoro esses avisos."
2026/05/06 9:25:50 PM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Raramente,"Gosto das políticas da plataforma (cancelamento grátis, programa de fidelidade).","Não, ignoro esses avisos."
2026/05/06 11:35:25 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Nunca,Outros,"Sim, sinto que posso perder a oportunidade."
2026/05/07 8:05:42 AM GMT-3,35-44,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Sempre,,"Não, ignoro esses avisos."
2026/05/07 11:46:21 AM GMT-3,25-34,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Sempre,,"Sim, sinto que posso perder a oportunidade."
2026/05/07 1:02:58 PM GMT-3,45+,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Na maioria das vezes,,"Não, ignoro esses avisos."
2026/05/07 8:52:46 PM GMT-3,18-24,"Plataformas digitais (Booking.com, Decolar, Expedia, Trivago, etc.)",Sempre,,"Não, ignoro esses avisos."
2026/05/08 6:28:21 AM GMT-3,18-24,Airbnb ou similares,Na maioria das vezes,,"Sim, sinto que posso perder a oportunidade."
